file_name	seed	formula_x	formula_y
NA	NA	NA	NA
2018-11-04-12-00_seed_4442.png	4442	sample(-1, 1, 1) * pi_x + sin(pi_y)	sample(-1, 1, 1) * pi_y + sin(pi_x)
2018-11-04-12-00_seed_50.png	50	sample(-1, 1, 1) * pi_x + sin(pi_y)	sample(-1, 1, 1) * pi_y + sin(pi_x)
2018-11-04-12-00_seed_1521.png	1521	sample(-1, 1, 1) * pi_x + sin(pi_y)	sample(-1, 1, 1) * pi_y + sin(pi_x)
2018-11-04-12-00_seed_1011.png	1011	sample(-1, 1, 1) * pi_x + sin(pi_y)	sample(-1, 1, 1) * pi_y + sin(pi_x)
2018-11-04-12-00_seed_45.png	45	sample(-1, 1, 1) * pi_x + sin(pi_y)	sample(-1, 1, 1) * pi_y + sin(pi_x)
2018-11-04-12-00_seed_9776.png	9776	sample(-1, 1, 1) * pi_x + sin(pi_y)	sample(-1, 1, 1) * pi_y + sin(pi_x)
2018-11-04-12-01_seed_2162.png	2162	sample(-1, 1, 1) * pi_x + sin(pi_y)	sample(-1, 1, 1) * pi_y + sin(pi_x)
2018-11-04-12-01_seed_6332.png	6332	sample(-1, 1, 1) * pi_x + sin(pi_y)	sample(-1, 1, 1) * pi_y + sin(pi_x)
2018-11-04-12-01_seed_6055.png	6055	sample(-1, 1, 1) * pi_x + sin(pi_y)	sample(-1, 1, 1) * pi_y + sin(pi_x)
2018-11-04-12-05_seed_8050.png	8050	sample(-1, 1, 1) * pi_x + sin(pi_y)	sample(-1, 1, 1) * pi_y + sin(pi_x)
2018-11-04-12-05_seed_6755.png	6755	sample(-1, 1, 1) * pi_x + sin(pi_y)	sample(-1, 1, 1) * pi_y + sin(pi_x)
2018-11-04-12-05_seed_9636.png	9636	sample(-1, 1, 1) * pi_x + sin(pi_y)	sample(-1, 1, 1) * pi_y + sin(pi_x)
